Pavarde                       Vardas                        Galutinis (Med.)
Pavarde5669                   Vardas5669                    5.00 
Pavarde567                    Vardas567                     5.00 
Pavarde5670                   Vardas5670                    5.00 
Pavarde5671                   Vardas5671                    5.00 
Pavarde5672                   Vardas5672                    3.00 
Pavarde5673                   Vardas5673                    5.00 
Pavarde5674                   Vardas5674                    4.00 
Pavarde5675                   Vardas5675                    7.00 
Pavarde5676                   Vardas5676                    5.00 
Pavarde5677                   Vardas5677                    7.00 
Pavarde5678                   Vardas5678                    6.00 
Pavarde5679                   Vardas5679                    4.00 
Pavarde568                    Vardas568                     5.00 
Pavarde5680                   Vardas5680                    5.00 
Pavarde5681                   Vardas5681                    5.00 
Pavarde5682                   Vardas5682                    4.00 
Pavarde5683                   Vardas5683                    6.00 
Pavarde5684                   Vardas5684                    6.00 
Pavarde5685                   Vardas5685                    5.00 
Pavarde5686                   Vardas5686                    6.00 
Pavarde5687                   Vardas5687                    5.00 
Pavarde5688                   Vardas5688                    6.00 
Pavarde5689                   Vardas5689                    5.00 
Pavarde569                    Vardas569                     6.00 
Pavarde5690                   Vardas5690                    5.00 
Pavarde5691                   Vardas5691                    5.00 
Pavarde5692                   Vardas5692                    6.00 
Pavarde5693                   Vardas5693                    5.00 
Pavarde5694                   Vardas5694                    6.00 
Pavarde5695                   Vardas5695                    4.00 
Pavarde5696                   Vardas5696                    7.00 
Pavarde5697                   Vardas5697                    6.00 
Pavarde5698                   Vardas5698                    5.00 
Pavarde5699                   Vardas5699                    4.00 
Pavarde57                     Vardas57                      6.00 
Pavarde570                    Vardas570                     7.00 
Pavarde5700                   Vardas5700                    5.00 
Pavarde5701                   Vardas5701                    6.00 
Pavarde5702                   Vardas5702                    5.00 
Pavarde5703                   Vardas5703                    6.00 
Pavarde5704                   Vardas5704                    6.00 
Pavarde5705                   Vardas5705                    6.00 
Pavarde5706                   Vardas5706                    4.00 
Pavarde5707                   Vardas5707                    4.00 
Pavarde5708                   Vardas5708                    6.00 
Pavarde5709                   Vardas5709                    6.00 
Pavarde571                    Vardas571                     7.00 
Pavarde5710                   Vardas5710                    8.00 
Pavarde5711                   Vardas5711                    5.00 
Pavarde5712                   Vardas5712                    4.00 
Pavarde5713                   Vardas5713                    6.00 
Pavarde5714                   Vardas5714                    5.00 
Pavarde5715                   Vardas5715                    5.00 
Pavarde5716                   Vardas5716                    5.00 
Pavarde5717                   Vardas5717                    5.00 
Pavarde5718                   Vardas5718                    4.00 
Pavarde5719                   Vardas5719                    4.00 
Pavarde572                    Vardas572                     4.00 
Pavarde5720                   Vardas5720                    7.00 
Pavarde5721                   Vardas5721                    4.00 
Pavarde5722                   Vardas5722                    6.00 
Pavarde5723                   Vardas5723                    4.00 
Pavarde5724                   Vardas5724                    3.00 
Pavarde5725                   Vardas5725                    5.00 
Pavarde5726                   Vardas5726                    4.00 
Pavarde5727                   Vardas5727                    4.00 
Pavarde5728                   Vardas5728                    8.00 
Pavarde5729                   Vardas5729                    6.00 
Pavarde573                    Vardas573                     5.00 
Pavarde5730                   Vardas5730                    7.00 
Pavarde5731                   Vardas5731                    5.00 
Pavarde5732                   Vardas5732                    4.00 
Pavarde5733                   Vardas5733                    6.00 
Pavarde5734                   Vardas5734                    6.00 
Pavarde5735                   Vardas5735                    8.00 
Pavarde5736                   Vardas5736                    3.00 
Pavarde5737                   Vardas5737                    4.00 
Pavarde5738                   Vardas5738                    5.00 
Pavarde5739                   Vardas5739                    5.00 
Pavarde574                    Vardas574                     3.00 
Pavarde5740                   Vardas5740                    6.00 
Pavarde5741                   Vardas5741                    7.00 
Pavarde5742                   Vardas5742                    6.00 
Pavarde5743                   Vardas5743                    5.00 
Pavarde5744                   Vardas5744                    3.00 
Pavarde5745                   Vardas5745                    4.00 
Pavarde5746                   Vardas5746                    6.00 
Pavarde5747                   Vardas5747                    7.00 
Pavarde5748                   Vardas5748                    5.00 
Pavarde5749                   Vardas5749                    4.00 
Pavarde575                    Vardas575                     6.00 
Pavarde5750                   Vardas5750                    2.00 
Pavarde5751                   Vardas5751                    6.00 
Pavarde5752                   Vardas5752                    5.00 
Pavarde5753                   Vardas5753                    5.00 
Pavarde5754                   Vardas5754                    6.00 
Pavarde5755                   Vardas5755                    6.00 
Pavarde5756                   Vardas5756                    5.00 
Pavarde5757                   Vardas5757                    8.00 
Pavarde5758                   Vardas5758                    5.00 
Pavarde5759                   Vardas5759                    6.00 
Pavarde576                    Vardas576                     5.00 
Pavarde5760                   Vardas5760                    6.00 
Pavarde5761                   Vardas5761                    3.00 
Pavarde5762                   Vardas5762                    5.00 
Pavarde5763                   Vardas5763                    3.00 
Pavarde5764                   Vardas5764                    4.00 
Pavarde5765                   Vardas5765                    4.00 
Pavarde5766                   Vardas5766                    6.00 
Pavarde5767                   Vardas5767                    6.00 
Pavarde5768                   Vardas5768                    6.00 
Pavarde5769                   Vardas5769                    5.00 
Pavarde577                    Vardas577                     5.00 
Pavarde5770                   Vardas5770                    5.00 
Pavarde5771                   Vardas5771                    6.00 
Pavarde5772                   Vardas5772                    6.00 
Pavarde5773                   Vardas5773                    5.00 
Pavarde5774                   Vardas5774                    5.00 
Pavarde5775                   Vardas5775                    7.00 
Pavarde5776                   Vardas5776                    5.00 
Pavarde5777                   Vardas5777                    5.00 
Pavarde5778                   Vardas5778                    7.00 
Pavarde5779                   Vardas5779                    5.00 
Pavarde578                    Vardas578                     7.00 
Pavarde5780                   Vardas5780                    6.00 
Pavarde5781                   Vardas5781                    6.00 
Pavarde5782                   Vardas5782                    5.00 
Pavarde5783                   Vardas5783                    6.00 
Pavarde5784                   Vardas5784                    7.00 
Pavarde5785                   Vardas5785                    6.00 
Pavarde5786                   Vardas5786                    6.00 
Pavarde5787                   Vardas5787                    6.00 
Pavarde5788                   Vardas5788                    5.00 
Pavarde5789                   Vardas5789                    5.00 
Pavarde579                    Vardas579                     6.00 
Pavarde5790                   Vardas5790                    5.00 
Pavarde5791                   Vardas5791                    4.00 
Pavarde5792                   Vardas5792                    6.00 
Pavarde5793                   Vardas5793                    4.00 
Pavarde5794                   Vardas5794                    6.00 
Pavarde5795                   Vardas5795                    4.00 
Pavarde5796                   Vardas5796                    4.00 
Pavarde5797                   Vardas5797                    7.00 
Pavarde5798                   Vardas5798                    5.00 
Pavarde5799                   Vardas5799                    6.00 
Pavarde58                     Vardas58                      7.00 
Pavarde580                    Vardas580                     3.00 
Pavarde5800                   Vardas5800                    6.00 
Pavarde5801                   Vardas5801                    5.00 
Pavarde5802                   Vardas5802                    8.00 
Pavarde5803                   Vardas5803                    6.00 
Pavarde5804                   Vardas5804                    5.00 
Pavarde5805                   Vardas5805                    6.00 
Pavarde5806                   Vardas5806                    7.00 
Pavarde5807                   Vardas5807                    6.00 
Pavarde5808                   Vardas5808                    6.00 
Pavarde5809                   Vardas5809                    7.00 
Pavarde581                    Vardas581                     4.00 
Pavarde5810                   Vardas5810                    3.00 
Pavarde5811                   Vardas5811                    6.00 
Pavarde5812                   Vardas5812                    5.00 
Pavarde5813                   Vardas5813                    3.00 
Pavarde5814                   Vardas5814                    6.00 
Pavarde5815                   Vardas5815                    6.00 
Pavarde5816                   Vardas5816                    5.00 
Pavarde5817                   Vardas5817                    6.00 
Pavarde5818                   Vardas5818                    8.00 
Pavarde5819                   Vardas5819                    7.00 
Pavarde582                    Vardas582                     5.00 
Pavarde5820                   Vardas5820                    5.00 
Pavarde5821                   Vardas5821                    7.00 
Pavarde5822                   Vardas5822                    6.00 
Pavarde5823                   Vardas5823                    7.00 
Pavarde5824                   Vardas5824                    5.00 
Pavarde5825                   Vardas5825                    6.00 
Pavarde5826                   Vardas5826                    6.00 
Pavarde5827                   Vardas5827                    4.00 
Pavarde5828                   Vardas5828                    6.00 
Pavarde5829                   Vardas5829                    3.00 
Pavarde583                    Vardas583                     6.00 
Pavarde5830                   Vardas5830                    6.00 
Pavarde5831                   Vardas5831                    5.00 
Pavarde5832                   Vardas5832                    5.00 
Pavarde5833                   Vardas5833                    6.00 
Pavarde5834                   Vardas5834                    7.00 
Pavarde5835                   Vardas5835                    7.00 
Pavarde5836                   Vardas5836                    8.00 
Pavarde5837                   Vardas5837                    5.00 
Pavarde5838                   Vardas5838                    6.00 
Pavarde5839                   Vardas5839                    5.00 
Pavarde584                    Vardas584                     6.00 
Pavarde5840                   Vardas5840                    5.00 
Pavarde5841                   Vardas5841                    6.00 
Pavarde5842                   Vardas5842                    6.00 
Pavarde5843                   Vardas5843                    4.00 
Pavarde5844                   Vardas5844                    5.00 
Pavarde5845                   Vardas5845                    5.00 
Pavarde5846                   Vardas5846                    7.00 
Pavarde5847                   Vardas5847                    7.00 
Pavarde5848                   Vardas5848                    6.00 
Pavarde5849                   Vardas5849                    5.00 
Pavarde585                    Vardas585                     7.00 
Pavarde5850                   Vardas5850                    6.00 
Pavarde5851                   Vardas5851                    7.00 
Pavarde5852                   Vardas5852                    4.00 
Pavarde5853                   Vardas5853                    5.00 
Pavarde5854                   Vardas5854                    6.00 
Pavarde5855                   Vardas5855                    7.00 
Pavarde5856                   Vardas5856                    5.00 
Pavarde5857                   Vardas5857                    5.00 
Pavarde5858                   Vardas5858                    7.00 
Pavarde5859                   Vardas5859                    5.00 
Pavarde586                    Vardas586                     6.00 
Pavarde5860                   Vardas5860                    8.00 
Pavarde5861                   Vardas5861                    4.00 
Pavarde5862                   Vardas5862                    6.00 
Pavarde5863                   Vardas5863                    6.00 
Pavarde5864                   Vardas5864                    6.00 
Pavarde5865                   Vardas5865                    5.00 
Pavarde5866                   Vardas5866                    3.00 
Pavarde5867                   Vardas5867                    6.00 
Pavarde5868                   Vardas5868                    7.00 
Pavarde5869                   Vardas5869                    5.00 
Pavarde587                    Vardas587                     8.00 
Pavarde5870                   Vardas5870                    8.00 
Pavarde5871                   Vardas5871                    4.00 
Pavarde5872                   Vardas5872                    6.00 
Pavarde5873                   Vardas5873                    5.00 
Pavarde5874                   Vardas5874                    6.00 
Pavarde5875                   Vardas5875                    6.00 
Pavarde5876                   Vardas5876                    3.00 
Pavarde5877                   Vardas5877                    5.00 
Pavarde5878                   Vardas5878                    4.00 
Pavarde5879                   Vardas5879                    5.00 
Pavarde588                    Vardas588                     4.00 
Pavarde5880                   Vardas5880                    5.00 
Pavarde5881                   Vardas5881                    7.00 
Pavarde5882                   Vardas5882                    5.00 
Pavarde5883                   Vardas5883                    4.00 
Pavarde5884                   Vardas5884                    5.00 
Pavarde5885                   Vardas5885                    5.00 
Pavarde5886                   Vardas5886                    4.00 
Pavarde5887                   Vardas5887                    5.00 
Pavarde5888                   Vardas5888                    7.00 
Pavarde5889                   Vardas5889                    5.00 
Pavarde589                    Vardas589                     6.00 
Pavarde5890                   Vardas5890                    6.00 
Pavarde5891                   Vardas5891                    5.00 
Pavarde5892                   Vardas5892                    5.00 
Pavarde5893                   Vardas5893                    6.00 
Pavarde5894                   Vardas5894                    4.00 
Pavarde5895                   Vardas5895                    4.00 
Pavarde5896                   Vardas5896                    4.00 
Pavarde5897                   Vardas5897                    6.00 
Pavarde5898                   Vardas5898                    5.00 
Pavarde5899                   Vardas5899                    5.00 
Pavarde59                     Vardas59                      5.00 
Pavarde590                    Vardas590                     3.00 
Pavarde5900                   Vardas5900                    6.00 
Pavarde5901                   Vardas5901                    4.00 
Pavarde5902                   Vardas5902                    6.00 
Pavarde5903                   Vardas5903                    5.00 
Pavarde5904                   Vardas5904                    7.00 
Pavarde5905                   Vardas5905                    5.00 
Pavarde5906                   Vardas5906                    7.00 
Pavarde5907                   Vardas5907                    6.00 
Pavarde5908                   Vardas5908                    8.00 
Pavarde5909                   Vardas5909                    7.00 
Pavarde591                    Vardas591                     4.00 
Pavarde5910                   Vardas5910                    6.00 
Pavarde5911                   Vardas5911                    5.00 
Pavarde5912                   Vardas5912                    4.00 
Pavarde5913                   Vardas5913                    5.00 
Pavarde5914                   Vardas5914                    3.00 
Pavarde5915                   Vardas5915                    5.00 
Pavarde5916                   Vardas5916                    7.00 
Pavarde5917                   Vardas5917                    7.00 
Pavarde5918                   Vardas5918                    6.00 
Pavarde5919                   Vardas5919                    7.00 
Pavarde592                    Vardas592                     4.00 
Pavarde5920                   Vardas5920                    4.00 
Pavarde5921                   Vardas5921                    6.00 
Pavarde5922                   Vardas5922                    4.00 
Pavarde5923                   Vardas5923                    7.00 
Pavarde5924                   Vardas5924                    5.00 
Pavarde5925                   Vardas5925                    5.00 
Pavarde5926                   Vardas5926                    4.00 
Pavarde5927                   Vardas5927                    6.00 
Pavarde5928                   Vardas5928                    8.00 
Pavarde5929                   Vardas5929                    4.00 
Pavarde593                    Vardas593                     4.00 
Pavarde5930                   Vardas5930                    7.00 
Pavarde5931                   Vardas5931                    7.00 
Pavarde5932                   Vardas5932                    8.00 
Pavarde5933                   Vardas5933                    7.00 
Pavarde5934                   Vardas5934                    3.00 
Pavarde5935                   Vardas5935                    5.00 
Pavarde5936                   Vardas5936                    5.00 
Pavarde5937                   Vardas5937                    7.00 
Pavarde5938                   Vardas5938                    6.00 
Pavarde5939                   Vardas5939                    4.00 
Pavarde594                    Vardas594                     5.00 
Pavarde5940                   Vardas5940                    6.00 
Pavarde5941                   Vardas5941                    8.00 
Pavarde5942                   Vardas5942                    6.00 
Pavarde5943                   Vardas5943                    5.00 
Pavarde5944                   Vardas5944                    7.00 
Pavarde5945                   Vardas5945                    6.00 
Pavarde5946                   Vardas5946                    2.00 
Pavarde5947                   Vardas5947                    4.00 
Pavarde5948                   Vardas5948                    8.00 
Pavarde5949                   Vardas5949                    4.00 
Pavarde595                    Vardas595                     7.00 
Pavarde5950                   Vardas5950                    8.00 
Pavarde5951                   Vardas5951                    4.00 
Pavarde5952                   Vardas5952                    3.00 
Pavarde5953                   Vardas5953                    5.00 
Pavarde5954                   Vardas5954                    5.00 
Pavarde5955                   Vardas5955                    5.00 
Pavarde5956                   Vardas5956                    4.00 
Pavarde5957                   Vardas5957                    5.00 
Pavarde5958                   Vardas5958                    6.00 
Pavarde5959                   Vardas5959                    4.00 
Pavarde596                    Vardas596                     5.00 
Pavarde5960                   Vardas5960                    7.00 
Pavarde5961                   Vardas5961                    5.00 
Pavarde5962                   Vardas5962                    6.00 
Pavarde5963                   Vardas5963                    5.00 
Pavarde5964                   Vardas5964                    6.00 
Pavarde5965                   Vardas5965                    5.00 
Pavarde5966                   Vardas5966                    7.00 
Pavarde5967                   Vardas5967                    6.00 
Pavarde5968                   Vardas5968                    6.00 
Pavarde5969                   Vardas5969                    6.00 
Pavarde597                    Vardas597                     7.00 
Pavarde5970                   Vardas5970                    5.00 
Pavarde5971                   Vardas5971                    6.00 
Pavarde5972                   Vardas5972                    9.00 
Pavarde5973                   Vardas5973                    6.00 
Pavarde5974                   Vardas5974                    7.00 
Pavarde5975                   Vardas5975                    5.00 
Pavarde5976                   Vardas5976                    6.00 
Pavarde5977                   Vardas5977                    5.00 
Pavarde5978                   Vardas5978                    7.00 
Pavarde5979                   Vardas5979                    6.00 
Pavarde598                    Vardas598                     6.00 
Pavarde5980                   Vardas5980                    8.00 
Pavarde5981                   Vardas5981                    5.00 
Pavarde5982                   Vardas5982                    7.00 
Pavarde5983                   Vardas5983                    4.00 
Pavarde5984                   Vardas5984                    5.00 
Pavarde5985                   Vardas5985                    6.00 
Pavarde5986                   Vardas5986                    6.00 
Pavarde5987                   Vardas5987                    7.00 
Pavarde5988                   Vardas5988                    4.00 
Pavarde5989                   Vardas5989                    5.00 
Pavarde599                    Vardas599                     5.00 
Pavarde5990                   Vardas5990                    4.00 
Pavarde5991                   Vardas5991                    6.00 
Pavarde5992                   Vardas5992                    6.00 
Pavarde5993                   Vardas5993                    4.00 
Pavarde5994                   Vardas5994                    5.00 
Pavarde5995                   Vardas5995                    7.00 
Pavarde5996                   Vardas5996                    5.00 
Pavarde5997                   Vardas5997                    8.00 
Pavarde5998                   Vardas5998                    4.00 
Pavarde5999                   Vardas5999                    2.00 
Pavarde6                      Vardas6                       5.00 
Pavarde60                     Vardas60                      6.00 
Pavarde600                    Vardas600                     5.00 
Pavarde6000                   Vardas6000                    8.00 
Pavarde6001                   Vardas6001                    4.00 
Pavarde6002                   Vardas6002                    4.00 
Pavarde6003                   Vardas6003                    5.00 
Pavarde6004                   Vardas6004                    6.00 
Pavarde6005                   Vardas6005                    7.00 
Pavarde6006                   Vardas6006                    6.00 
Pavarde6007                   Vardas6007                    7.00 
Pavarde6008                   Vardas6008                    2.00 
Pavarde6009                   Vardas6009                    5.00 
Pavarde601                    Vardas601                     8.00 
Pavarde6010                   Vardas6010                    7.00 
Pavarde6011                   Vardas6011                    6.00 
Pavarde6012                   Vardas6012                    5.00 
Pavarde6013                   Vardas6013                    5.00 
Pavarde6014                   Vardas6014                    4.00 
Pavarde6015                   Vardas6015                    4.00 
Pavarde6016                   Vardas6016                    6.00 
Pavarde6017                   Vardas6017                    5.00 
Pavarde6018                   Vardas6018                    5.00 
Pavarde6019                   Vardas6019                    5.00 
Pavarde602                    Vardas602                     6.00 
Pavarde6020                   Vardas6020                    5.00 
Pavarde6021                   Vardas6021                    3.00 
Pavarde6022                   Vardas6022                    7.00 
Pavarde6023                   Vardas6023                    6.00 
Pavarde6024                   Vardas6024                    7.00 
Pavarde6025                   Vardas6025                    6.00 
Pavarde6026                   Vardas6026                    5.00 
Pavarde6027                   Vardas6027                    5.00 
Pavarde6028                   Vardas6028                    4.00 
Pavarde6029                   Vardas6029                    5.00 
Pavarde603                    Vardas603                     4.00 
Pavarde6030                   Vardas6030                    4.00 
Pavarde6031                   Vardas6031                    6.00 
Pavarde6032                   Vardas6032                    7.00 
Pavarde6033                   Vardas6033                    5.00 
Pavarde6034                   Vardas6034                    4.00 
Pavarde6035                   Vardas6035                    4.00 
Pavarde6036                   Vardas6036                    5.00 
Pavarde6037                   Vardas6037                    7.00 
Pavarde6038                   Vardas6038                    4.00 
Pavarde6039                   Vardas6039                    6.00 
Pavarde604                    Vardas604                     5.00 
Pavarde6040                   Vardas6040                    5.00 
Pavarde6041                   Vardas6041                    5.00 
Pavarde6042                   Vardas6042                    6.00 
Pavarde6043                   Vardas6043                    5.00 
Pavarde6044                   Vardas6044                    5.00 
Pavarde6045                   Vardas6045                    4.00 
Pavarde6046                   Vardas6046                    8.00 
Pavarde6047                   Vardas6047                    6.00 
Pavarde6048                   Vardas6048                    5.00 
Pavarde6049                   Vardas6049                    6.00 
Pavarde605                    Vardas605                     4.00 
Pavarde6050                   Vardas6050                    5.00 
Pavarde6051                   Vardas6051                    5.00 
Pavarde6052                   Vardas6052                    7.00 
Pavarde6053                   Vardas6053                    8.00 
Pavarde6054                   Vardas6054                    7.00 
Pavarde6055                   Vardas6055                    5.00 
Pavarde6056                   Vardas6056                    6.00 
Pavarde6057                   Vardas6057                    6.00 
Pavarde6058                   Vardas6058                    4.00 
Pavarde6059                   Vardas6059                    5.00 
Pavarde606                    Vardas606                     4.00 
Pavarde6060                   Vardas6060                    6.00 
Pavarde6061                   Vardas6061                    6.00 
Pavarde6062                   Vardas6062                    3.00 
Pavarde6063                   Vardas6063                    7.00 
Pavarde6064                   Vardas6064                    5.00 
Pavarde6065                   Vardas6065                    8.00 
Pavarde6066                   Vardas6066                    5.00 
Pavarde6067                   Vardas6067                    7.00 
Pavarde6068                   Vardas6068                    5.00 
Pavarde6069                   Vardas6069                    6.00 
Pavarde607                    Vardas607                     6.00 
Pavarde6070                   Vardas6070                    4.00 
Pavarde6071                   Vardas6071                    4.00 
Pavarde6072                   Vardas6072                    7.00 
Pavarde6073                   Vardas6073                    6.00 
Pavarde6074                   Vardas6074                    3.00 
Pavarde6075                   Vardas6075                    6.00 
Pavarde6076                   Vardas6076                    7.00 
Pavarde6077                   Vardas6077                    5.00 
Pavarde6078                   Vardas6078                    6.00 
Pavarde6079                   Vardas6079                    6.00 
Pavarde608                    Vardas608                     5.00 
Pavarde6080                   Vardas6080                    5.00 
Pavarde6081                   Vardas6081                    4.00 
Pavarde6082                   Vardas6082                    6.00 
Pavarde6083                   Vardas6083                    4.00 
Pavarde6084                   Vardas6084                    7.00 
Pavarde6085                   Vardas6085                    7.00 
Pavarde6086                   Vardas6086                    6.00 
Pavarde6087                   Vardas6087                    4.00 
Pavarde6088                   Vardas6088                    4.00 
Pavarde6089                   Vardas6089                    8.00 
Pavarde609                    Vardas609                     4.00 
Pavarde6090                   Vardas6090                    7.00 
Pavarde6091                   Vardas6091                    7.00 
Pavarde6092                   Vardas6092                    6.00 
Pavarde6093                   Vardas6093                    5.00 
Pavarde6094                   Vardas6094                    4.00 
Pavarde6095                   Vardas6095                    7.00 
Pavarde6096                   Vardas6096                    5.00 
Pavarde6097                   Vardas6097                    3.00 
Pavarde6098                   Vardas6098                    3.00 
Pavarde6099                   Vardas6099                    7.00 
Pavarde61                     Vardas61                      4.00 
Pavarde610                    Vardas610                     4.00 
Pavarde6100                   Vardas6100                    5.00 
Pavarde6101                   Vardas6101                    6.00 
Pavarde6102                   Vardas6102                    5.00 
Pavarde6103                   Vardas6103                    5.00 
Pavarde6104                   Vardas6104                    8.00 
Pavarde6105                   Vardas6105                    5.00 
Pavarde6106                   Vardas6106                    7.00 
Pavarde6107                   Vardas6107                    5.00 
Pavarde6108                   Vardas6108                    5.00 
Pavarde6109                   Vardas6109                    4.00 
Pavarde611                    Vardas611                     5.00 
Pavarde6110                   Vardas6110                    7.00 
Pavarde6111                   Vardas6111                    7.00 
Pavarde6112                   Vardas6112                    5.00 
Pavarde6113                   Vardas6113                    7.00 
Pavarde6114                   Vardas6114                    5.00 
Pavarde6115                   Vardas6115                    6.00 
Pavarde6116                   Vardas6116                    8.00 
Pavarde6117                   Vardas6117                    5.00 
Pavarde6118                   Vardas6118                    5.00 
Pavarde6119                   Vardas6119                    5.00 
Pavarde612                    Vardas612                     4.00 
Pavarde6120                   Vardas6120                    6.00 
Pavarde6121                   Vardas6121                    5.00 
Pavarde6122                   Vardas6122                    7.00 
Pavarde6123                   Vardas6123                    6.00 
Pavarde6124                   Vardas6124                    5.00 
Pavarde6125                   Vardas6125                    6.00 
Pavarde6126                   Vardas6126                    5.00 
Pavarde6127                   Vardas6127                    7.00 
Pavarde6128                   Vardas6128                    4.00 
Pavarde6129                   Vardas6129                    6.00 
Pavarde613                    Vardas613                     8.00 
Pavarde6130                   Vardas6130                    4.00 
Pavarde6131                   Vardas6131                    4.00 
Pavarde6132                   Vardas6132                    5.00 
Pavarde6133                   Vardas6133                    4.00 
Pavarde6134                   Vardas6134                    7.00 
Pavarde6135                   Vardas6135                    5.00 
Pavarde6136                   Vardas6136                    6.00 
Pavarde6137                   Vardas6137                    5.00 
Pavarde6138                   Vardas6138                    6.00 
Pavarde6139                   Vardas6139                    6.00 
Pavarde614                    Vardas614                     5.00 
Pavarde6140                   Vardas6140                    5.00 
Pavarde6141                   Vardas6141                    6.00 
Pavarde6142                   Vardas6142                    4.00 
Pavarde6143                   Vardas6143                    5.00 
Pavarde6144                   Vardas6144                    6.00 
Pavarde6145                   Vardas6145                    6.00 
Pavarde6146                   Vardas6146                    6.00 
Pavarde6147                   Vardas6147                    6.00 
Pavarde6148                   Vardas6148                    5.00 
Pavarde6149                   Vardas6149                    6.00 
Pavarde615                    Vardas615                     5.00 
Pavarde6150                   Vardas6150                    6.00 
Pavarde6151                   Vardas6151                    5.00 
Pavarde6152                   Vardas6152                    6.00 
Pavarde6153                   Vardas6153                    6.00 
Pavarde6154                   Vardas6154                    7.00 
Pavarde6155                   Vardas6155                    6.00 
Pavarde6156                   Vardas6156                    3.00 
Pavarde6157                   Vardas6157                    4.00 
Pavarde6158                   Vardas6158                    6.00 
Pavarde6159                   Vardas6159                    6.00 
Pavarde616                    Vardas616                     5.00 
Pavarde6160                   Vardas6160                    6.00 
Pavarde6161                   Vardas6161                    6.00 
Pavarde6162                   Vardas6162                    8.00 
Pavarde6163                   Vardas6163                    6.00 
Pavarde6164                   Vardas6164                    6.00 
Pavarde6165                   Vardas6165                    6.00 
Pavarde6166                   Vardas6166                    6.00 
Pavarde6167                   Vardas6167                    5.00 
Pavarde6168                   Vardas6168                    5.00 
Pavarde6169                   Vardas6169                    6.00 
Pavarde617                    Vardas617                     5.00 
Pavarde6170                   Vardas6170                    5.00 
Pavarde6171                   Vardas6171                    3.00 
Pavarde6172                   Vardas6172                    5.00 
Pavarde6173                   Vardas6173                    6.00 
Pavarde6174                   Vardas6174                    7.00 
Pavarde6175                   Vardas6175                    6.00 
Pavarde6176                   Vardas6176                    4.00 
Pavarde6177                   Vardas6177                    7.00 
Pavarde6178                   Vardas6178                    5.00 
Pavarde6179                   Vardas6179                    5.00 
Pavarde618                    Vardas618                     6.00 
Pavarde6180                   Vardas6180                    4.00 
Pavarde6181                   Vardas6181                    4.00 
Pavarde6182                   Vardas6182                    5.00 
Pavarde6183                   Vardas6183                    6.00 
Pavarde6184                   Vardas6184                    4.00 
Pavarde6185                   Vardas6185                    5.00 
Pavarde6186                   Vardas6186                    7.00 
Pavarde6187                   Vardas6187                    3.00 
Pavarde6188                   Vardas6188                    4.00 
Pavarde6189                   Vardas6189                    5.00 
Pavarde619                    Vardas619                     3.00 
Pavarde6190                   Vardas6190                    5.00 
Pavarde6191                   Vardas6191                    5.00 
Pavarde6192                   Vardas6192                    4.00 
Pavarde6193                   Vardas6193                    4.00 
Pavarde6194                   Vardas6194                    4.00 
Pavarde6195                   Vardas6195                    8.00 
Pavarde6196                   Vardas6196                    5.00 
Pavarde6197                   Vardas6197                    5.00 
Pavarde6198                   Vardas6198                    6.00 
Pavarde6199                   Vardas6199                    5.00 
Pavarde62                     Vardas62                      6.00 
Pavarde620                    Vardas620                     4.00 
Pavarde6200                   Vardas6200                    5.00 
Pavarde6201                   Vardas6201                    5.00 
Pavarde6202                   Vardas6202                    4.00 
Pavarde6203                   Vardas6203                    5.00 
Pavarde6204                   Vardas6204                    5.00 
Pavarde6205                   Vardas6205                    5.00 
Pavarde6206                   Vardas6206                    6.00 
Pavarde6207                   Vardas6207                    7.00 
Pavarde6208                   Vardas6208                    6.00 
Pavarde6209                   Vardas6209                    5.00 
Pavarde621                    Vardas621                     5.00 
Pavarde6210                   Vardas6210                    5.00 
Pavarde6211                   Vardas6211                    5.00 
Pavarde6212                   Vardas6212                    4.00 
Pavarde6213                   Vardas6213                    5.00 
Pavarde6214                   Vardas6214                    6.00 
Pavarde6215                   Vardas6215                    5.00 
Pavarde6216                   Vardas6216                    7.00 
Pavarde6217                   Vardas6217                    6.00 
Pavarde6218                   Vardas6218                    6.00 
Pavarde6219                   Vardas6219                    6.00 
Pavarde622                    Vardas622                     5.00 
Pavarde6220                   Vardas6220                    5.00 
Pavarde6221                   Vardas6221                    5.00 
Pavarde6222                   Vardas6222                    7.00 
Pavarde6223                   Vardas6223                    8.00 
Pavarde6224                   Vardas6224                    3.00 
Pavarde6225                   Vardas6225                    7.00 
Pavarde6226                   Vardas6226                    4.00 
Pavarde6227                   Vardas6227                    4.00 
Pavarde6228                   Vardas6228                    6.00 
Pavarde6229                   Vardas6229                    5.00 
Pavarde623                    Vardas623                     7.00 
Pavarde6230                   Vardas6230                    4.00 
Pavarde6231                   Vardas6231                    5.00 
Pavarde6232                   Vardas6232                    5.00 
Pavarde6233                   Vardas6233                    5.00 
Pavarde6234                   Vardas6234                    6.00 
Pavarde6235                   Vardas6235                    3.00 
Pavarde6236                   Vardas6236                    5.00 
Pavarde6237                   Vardas6237                    5.00 
Pavarde6238                   Vardas6238                    6.00 
Pavarde6239                   Vardas6239                    5.00 
Pavarde624                    Vardas624                     7.00 
Pavarde6240                   Vardas6240                    6.00 
Pavarde6241                   Vardas6241                    7.00 
Pavarde6242                   Vardas6242                    6.00 
Pavarde6243                   Vardas6243                    6.00 
Pavarde6244                   Vardas6244                    6.00 
